time,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-49,AGE 50-64,AGE 65,TOTAL PATIENTS
2020-01,5.91974,6.22926,21564,23383,27650,9208,6876,1423620
2020-02,4.94176,5.06974,15547,22747,23631,8196,5464,1490905
2020-03,5.33174,5.35782,16587,29657,21395,7379,4728,1488404
2020-04,6.08106,6.0261,18558,35216,23657,7971,4670,1494697
2020-05,6.74724,6.87271,20299,44117,28889,9527,5475,1575900
2020-06,6.7998,7.08261,20270,45491,29790,10036,5702,1571300
2020-07,6.11292,6.22068,17393,36909,26428,9231,5457,1533883
2020-08,5.55671,5.62148,15233,28328,22908,8221,5142,1420123
2020-09,5.12279,5.10226,13817,25487,22125,8273,5107,1466192
2020-10,5.26652,5.28928,13888,26396,23906,8891,5698,1489410
2020-11,5.67081,6.29229,14149,27752,29657,11327,6686,1423503
2020-12,6.38029,7.35285,10790,17512,30818,12478,6986,1068755
2020-13,4.91692,6.22687,5129,8322,22408,10825,6458,853431
2020-14,3.78625,4.82995,2359,4852,14964,8696,5380,750546
2020-15,2.80122,3.47366,1496,3426,9995,6043,4014,718953
2020-16,2.12879,2.57382,1068,2666,7423,4182,2926,709645
2020-17,1.73315,2.02032,926,2317,6339,3289,2293,750576
2020-18,1.40932,1.62094,864,2098,5291,2668,1896,790715
2020-19,1.18336,1.35262,729,1889,4585,2241,1622,818113
2020-20,1.11451,1.23819,788,1960,4112,2171,1449,846400
2020-21,1.00534,1.07598,1224,2402,4375,2148,1586,1090638
2020-22,0.88827,0.885843,805,1898,3572,1878,1461,1085294
2020-23,0.814062,0.819928,802,1969,3440,1705,1409,1137295
2020-24,0.836751,0.814575,881,2141,3454,1726,1378,1176074
2020-25,0.928456,0.950979,1006,2679,4709,2001,1471,1247767
2020-26,1.14217,1.20306,1216,3491,6241,2649,1902,1288294
2020-27,1.27401,1.38424,1395,3970,7032,3223,2223,1289006
2020-28,1.34951,1.47311,1545,4094,8010,3765,2632,1360798
2020-29,1.34471,1.43761,1658,4075,7526,3565,2436,1339726
2020-30,1.22153,1.21898,1634,3560,6105,3089,2145,1356301
2020-31,1.15258,1.15067,1609,3497,5709,2595,2114,1349125
2020-32,1.0626,1.05662,1570,3271,4977,2361,1938,1336052
2020-33,0.979884,0.981699,1592,3167,4502,2174,1758,1343895
2020-34,0.969202,0.961833,1804,3283,4305,1894,1666,1346595
2020-35,1.00022,0.970543,1866,3951,4032,1821,1489,1355839
2020-36,0.920817,0.919002,1759,3609,3773,1696,1479,1340149
2020-37,1.0355,0.978032,1999,3822,3975,1793,1446,1332779
2020-38,0.974333,0.955677,2070,3628,4070,1794,1487,1365420
2020-39,1.06462,1.03845,2286,4366,4412,1944,1578,1404590
2020-40,1.09211,1.08024,2454,4715,5091,2362,1844,1524289
2020-41,1.21201,1.19451,2558,5239,6023,3004,2320,1602667
2020-42,1.11151,1.09796,2313,4613,5661,2547,2101,1569727
2020-43,1.18662,1.15393,2454,4834,5850,2821,2174,1571417
2020-44,1.25262,1.18924,2512,4916,6082,2752,2292,1560158
2020-45,1.44427,1.33759,2726,5825,7084,3282,2453,1597645
2020-46,1.48969,1.37845,2776,5544,7677,3728,2873,1639379
2020-47,1.56064,1.43236,2692,5342,7824,3956,2895,1585429
2020-48,1.61944,1.49959,2484,4584,7091,3962,3192,1421255
2020-49,1.57347,1.44967,2597,4861,7682,3976,3135,1534905
2020-50,1.51939,1.42617,2504,4692,7519,4067,3321,1549810
2020-51,1.50599,1.39797,2482,4282,7124,3841,3145,1493163
2020-52,1.55485,1.45725,2323,3564,6627,3918,3404,1361197
2020-53,1.58903,1.53781,2583,3933,7723,4516,3668,1458113
2021-01,1.47519,1.4348,2414,4549,7976,4359,3413,1582870
2021-02,1.28752,1.2606,2297,3975,6396,3520,2830,1508647
2021-03,1.25172,1.21098,2566,4056,5876,3310,2542,1515305
2021-04,1.10177,1.12283,2558,3953,5345,2803,2237,1504764
2021-05,1.16565,1.08237,2636,4015,4995,2525,1927,1487296
2021-06,1.00609,0.975086,2552,3730,4096,2129,1572,1443873
2021-07,0.986101,0.907555,2318,3144,3708,1918,1503,1387354
2021-08,0.864388,0.860857,2543,3541,3839,1900,1521,1550083
2021-09,0.828056,0.842356,2771,3540,3532,1810,1347,1543291
2021-10,0.882103,0.902897,3218,3806,3781,1901,1371,1559093
2021-11,0.908033,0.939382,3514,3856,3936,1909,1359,1551445
2021-12,0.947577,0.96011,3817,3915,4214,2054,1354,1599192
2021-13,0.975225,0.998141,4116,4089,4394,2129,1265,1602279
2021-14,1.06101,1.07796,4731,4685,5048,2281,1355,1679101
2021-15,1.08091,1.1089,5227,4907,5290,2358,1383,1728295
2021-16,1.10326,1.1502,5763,5093,4858,2140,1451,1678407
2021-17,1.13361,1.1834,6326,5503,4810,2042,1418,1698411
2021-18,1.14992,1.20915,6822,5401,4617,1802,1288,1648268
2021-19,1.19092,1.25462,7365,5491,4362,1841,1308,1623366
2021-20,1.24677,1.26333,8352,5414,4421,1742,1333,1683010
2021-21,1.14504,1.19095,7953,4967,3990,1590,1175,1652047
2021-22,1.18454,1.25187,8502,4854,3975,1572,1240,1609033
2021-23,1.12943,1.14521,8096,4645,3692,1527,1222,1674977
2021-24,1.18866,1.18174,8503,4594,3785,1508,1189,1656791
2021-25,1.21202,1.21001,8514,4609,3814,1652,1301,1643793
2021-26,1.21342,1.21283,8369,4757,4003,1672,1291,1656615
2021-27,1.26676,1.32905,8719,5309,4859,1976,1508,1683237
2021-28,1.38728,1.44269,9193,5930,6029,2399,1710,1750965
2021-29,1.6475,1.70926,10371,7170,7958,2897,2149,1787028
2021-30,1.80199,1.91065,11132,8572,9249,3614,2628,1842048
2021-31,1.94952,2.05206,11102,8900,10544,4327,2883,1839909
2021-32,2.03548,2.15548,11264,10105,11226,4555,2917,1858843
2021-33,2.1918,2.30581,11801,12275,11013,4739,2893,1852756
2021-34,2.23897,2.30752,11982,13529,10382,4339,2826,1865986
2021-35,2.26643,2.25253,11745,13053,9557,3886,2623,1814136
2021-36,2.21298,2.21275,11705,12250,9088,3733,2645,1781535
2021-37,2.045,2.00464,11248,11578,7774,3289,2304,1805463
2021-38,1.90124,1.93759,10916,11380,6853,2765,2062,1753523
2021-39,1.8442,1.84367,10133,10040,5627,2315,1834,1624427
2021-40,2.04946,1.96951,13140,13154,7466,3201,2574,2007349
2021-41,1.95317,1.90695,13072,11985,7120,2975,2486,1973726
2021-42,1.92693,1.86187,12500,11458,6458,2943,2355,1918176
2021-43,1.97792,1.89376,12859,11888,6677,2853,2362,1934723
2021-44,2.14051,2.08777,13304,14454,6968,2930,2374,1917361
2021-45,2.26691,2.22941,14565,15840,7836,3192,2730,1980931
2021-46,2.41002,2.35687,14740,17358,8523,3639,2816,1997393
2021-47,2.51362,2.45867,14918,13401,8183,3719,3103,1762089
2021-48,2.56387,2.56351,15167,17353,11304,4893,4012,2056903
2021-49,2.74219,2.71846,14971,19971,11373,4863,3891,2025745
2021-50,3.1546,3.09823,16287,23450,13615,5232,3961,2018736
2021-51,4.007,4.07867,18515,25073,22557,7773,5307,1942424
2021-52,4.89397,5.06901,24109,28952,38300,13512,8989,2246237
2022-01,4.29914,4.28066,17044,24738,31478,12063,7939,2178681
2022-02,3.50099,3.41579,12223,20214,21830,8735,6181,2025389
2022-03,2.77457,2.67796,9492,13268,15006,6185,4547,1811003
2022-04,2.05464,1.97776,7309,9526,9877,4582,3516,1760073
2022-05,1.66744,1.56091,6082,7748,6431,3018,2552,1654872
2022-06,1.43558,1.34542,6395,7610,5170,2401,2155,1763832
2022-07,1.48076,1.37085,6917,8500,4645,2083,1801,1746795
2022-08,1.46137,1.37026,7057,8330,4638,1816,1768,1722955
2022-09,1.57063,1.42301,7423,9830,5008,1864,1676,1813130
2022-10,1.69692,1.54683,8210,11085,5060,1951,1771,1815133
2022-11,1.83274,1.67881,9042,12124,5914,2202,2077,1867926
2022-12,1.88031,1.73443,9302,12648,5973,2334,2166,1869370
2022-13,1.99637,1.85462,9613,13660,6759,2384,2406,1877580
2022-14,2.10974,1.99404,10562,15187,7272,2573,2550,1912899
2022-15,2.18573,2.12964,11336,16095,7838,2868,2829,1923613
2022-16,2.21825,2.1833,11734,15748,8315,3172,3117,1927635
2022-17,2.31926,2.21509,12070,16372,8422,3274,3282,1960190
2022-18,2.38743,2.4143,12835,18631,9402,3608,3323,1979830
2022-19,2.5726,2.60892,14243,19989,10135,3843,3815,1994121
2022-20,2.46368,2.60434,15055,20746,10460,3985,3835,2076569
2022-21,2.39323,2.66831,14561,19982,10167,4010,3665,1963229
2022-22,2.42307,2.64646,15809,17507,10584,4060,3903,1959711
2022-23,2.15926,2.29329,14154,13726,9654,3941,3765,1972714
2022-24,1.98659,2.0741,12858,11205,8941,3665,3581,1940597
2022-25,1.87626,1.91807,11865,9933,8676,3736,3620,1972297
2022-26,1.80173,1.80208,11066,8513,8004,3523,3460,1918113
2022-27,1.81325,1.79307,10580,8593,8380,3697,3733,1951013
2022-28,1.67273,1.66869,9525,8111,8324,3546,3505,1978256
2022-29,1.65436,1.64913,9361,8116,8219,3483,3432,1977461
2022-30,1.66503,1.64799,9153,7859,8056,3485,3487,1944189
2022-31,1.52846,1.5292,8659,7476,7295,3104,3107,1938338
2022-32,1.51766,1.51741,8329,7813,6816,2804,2880,1887562
2022-33,1.59458,1.61916,9479,9934,6659,2819,2681,1949894
2022-34,1.82581,1.81145,10792,12593,7079,2730,2593,1975601
2022-35,1.9377,1.89564,11524,13887,6980,2670,2452,1978914
2022-36,2.00147,1.94934,12548,13475,6978,2701,2632,1966513
2022-37,2.03389,1.97433,13405,14610,6751,2618,2454,2017799
2022-38,2.27821,2.19998,15939,16713,6924,2658,2492,2033022
2022-39,2.35649,2.29832,17080,16825,6945,2795,2676,2015431
2022-40,2.61257,2.59379,18503,20141,10718,4094,3862,2209814
2022-41,3.00763,2.85133,20623,22779,11519,4394,4073,2223106
2022-42,3.31975,3.31688,23713,28368,13719,5303,4512,2279700
2022-43,4.3682,4.4466,32012,45003,19586,7037,5858,2462467
2022-44,5.42144,5.54702,37474,61015,25460,8469,6829,2510305
2022-45,5.73522,5.67263,38651,57053,26941,9791,7619,2468962
2022-46,5.91793,5.73531,34849,55229,28672,10171,8498,2396019
2022-47,7.42531,7.37142,39539,62925,36157,13876,12439,2237505
2022-48,7.21822,7.24012,38495,63623,48042,18626,16887,2564503
2022-49,6.87034,6.82928,32316,62563,40778,16557,15034,2448985
2022-50,6.29772,6.46231,28976,55613,38007,15506,13570,2347026
2022-51,6.00293,6.1412,25500,41624,34587,14564,13703,2116491
2022-52,5.33838,5.46656,22891,27251,31974,14961,15454,2058533
2023-01,3.93482,4.07732,16651,21006,27662,13549,13166,2257219
2023-02,2.94564,3.05773,12231,18061,19912,9135,8381,2214718
2023-03,2.63811,2.70671,11720,16915,15844,7000,6291,2134322
2023-04,2.62522,2.67225,12170,18680,15618,6410,5353,2179097
2023-05,2.58477,2.68591,12686,19751,15506,6113,5270,2208786
2023-06,2.59148,2.70465,13271,20964,15921,6469,5633,2301891
2023-07,2.5701,2.6371,13127,19818,15055,6263,5402,2262519
2023-08,2.52707,2.58651,13478,18410,13880,6054,5401,2212367
2023-09,2.4046,2.44348,12693,18281,13849,5769,5090,2278801
2023-10,2.3571,2.40445,12840,18388,13379,5365,4714,2274369
2023-11,2.3545,2.43524,13086,17814,13264,5298,4801,2228243
2023-12,2.31096,2.41343,13043,18685,13685,5286,4695,2295244
2023-13,2.25771,2.34891,12413,18078,13208,5005,4638,2270922
2023-14,2.12953,2.20628,11586,15673,11976,4783,4337,2191695
2023-15,2.01047,2.0726,11151,14832,11853,4552,4337,2254413
2023-16,1.90776,1.95437,9912,14788,11388,4361,4058,2277306
2023-17,1.90393,1.97315,10041,15803,11176,4133,3649,2270577
2023-18,1.93608,2.0174,10013,16115,11224,4283,3947,2259439
2023-19,1.90846,1.99349,10187,16725,11067,4072,3718,2295923
2023-20,1.88236,1.96616,9740,15517,10697,3875,3458,2201602
2023-21,1.83328,1.91398,9389,14611,10386,3640,3490,2169098
2023-22,1.83857,1.93826,9568,14220,10413,3845,3543,2145684
2023-23,1.57748,1.69283,8309,11628,9954,3622,3426,2182091
2023-24,1.48614,1.57462,7741,10223,9289,3447,3180,2151633
2023-25,1.36472,1.44401,6998,8941,8727,3236,2987,2139112
2023-26,1.27095,1.32385,6388,8012,8130,3046,2910,2151758
2023-27,1.22553,1.29091,5944,7475,7472,2940,2817,2064286
2023-28,1.15793,1.20177,5608,7043,7567,2925,2760,2155400
2023-29,1.12685,1.19268,5718,6836,7476,2931,2841,2163359
2023-30,1.16805,1.23085,5812,7046,7475,3137,2947,2146245
2023-31,1.20299,1.26099,5678,6966,7979,3273,3000,2132922
2023-32,1.27357,1.35931,5982,7764,8642,3560,3365,2156467
2023-33,1.44821,1.53965,6688,9759,9791,3784,3641,2186399
2023-34,1.70391,1.8262,8234,13151,11256,4300,4038,2243946
2023-35,1.93305,1.97735,8980,14664,11792,4630,4345,2245988
2023-36,2.00204,2.0246,9546,14159,11819,4621,4589,2209523
2023-37,1.94047,1.99147,9485,14904,11798,4699,4401,2274050
2023-38,2.03761,2.13438,10912,16162,11970,4711,4510,2261308
2023-39,2.08992,2.17945,11376,16110,12299,4934,4550,2260617
2023-40,2.27793,2.25998,13519,19002,13442,5294,5055,2491698
2023-41,2.33671,2.31342,14421,18598,13972,5435,5098,2486536
2023-42,2.52187,2.51544,15720,20305,14465,5816,6196,2484738
2023-43,2.7123,2.68556,16987,22514,15481,6082,6712,2523716
2023-44,2.94534,2.91432,17798,24808,16589,6341,6696,2478520
2023-45,3.40907,3.32776,21464,29464,19331,7439,7761,2568065
2023-46,3.68972,3.5743,22031,30863,21568,8086,8425,2545200
2023-47,3.92848,3.7901,22396,25940,20392,8378,8418,2256510
2023-48,4.03342,3.96247,22647,30362,28355,11139,11208,2617331
2023-49,4.38274,4.35808,23372,38214,29042,12204,11372,2620511
2023-50,5.1835,5.21044,26102,48365,35037,14003,12573,2611680
2023-51,6.22917,6.31311,29797,53512,45280,18118,16629,2587250
2023-52,6.7957,6.90766,31511,41815,50073,21707,21720,2415088
2024-01,5.71368,5.7628,24694,32334,47041,20537,19384,2498612
2024-02,4.65928,4.75417,18158,31411,37112,16413,15396,2492338
2024-03,4.3245,4.35187,16166,29175,30584,12647,11566,2301033
2024-04,4.22931,4.22442,16239,34400,31806,12500,10657,2499800
2024-05,4.41989,4.27929,17275,38582,30432,11604,10061,2522709
2024-06,4.45634,4.40086,17972,41799,31622,11550,10051,2567545
2024-07,4.35464,4.33656,17415,39011,30781,11242,9970,2500114
